READ776	CONTIG199
READ470	CONTIG883
READ568	CONTIG456
READ361	CONTIG513
READ267	CONTIG382
READ783	CONTIG391
READ967	CONTIG207
READ95	CONTIG448
READ19	CONTIG323
READ304	CONTIG988
READ583	CONTIG237
READ727	CONTIG733
READ49	CONTIG593
READ673	CONTIG327
READ343	CONTIG673
READ526	CONTIG873
READ364	CONTIG800
READ629	CONTIG474
READ148	CONTIG137
READ218	CONTIG954
READ815	CONTIG98
READ352	CONTIG225
READ619	CONTIG684
READ248	CONTIG95
READ202	CONTIG214
READ951	CONTIG896
READ867	CONTIG990
READ885	CONTIG606
READ706	CONTIG269
READ749	CONTIG82
READ143	CONTIG599
READ574	CONTIG676
READ149	CONTIG764
READ531	CONTIG758
READ525	CONTIG790
READ591	CONTIG977
READ994	CONTIG917
READ787	CONTIG372
READ389	CONTIG316
READ598	CONTIG255
READ872	CONTIG296
READ516	CONTIG748
READ750	CONTIG700
READ966	CONTIG793
READ544	CONTIG485
READ81	CONTIG149
READ282	CONTIG655
READ342	CONTIG695
READ358	CONTIG598
READ466	CONTIG688
READ536	CONTIG106
READ103	CONTIG146
READ345	CONTIG63
READ368	CONTIG719
READ252	CONTIG93
READ551	CONTIG767
READ788	CONTIG94
READ671	CONTIG299
READ755	CONTIG273
READ605	CONTIG939
READ418	CONTIG439
READ115	CONTIG751
READ997	CONTIG64
READ909	CONTIG89
READ124	CONTIG52
READ170	CONTIG993
READ976	CONTIG142
READ866	CONTIG699
READ236	CONTIG94
READ459	CONTIG291
READ292	CONTIG659
READ768	CONTIG592
READ698	CONTIG829
READ75	CONTIG191
READ654	CONTIG260
READ6	CONTIG27
READ235	CONTIG18
READ181	CONTIG315
READ559	CONTIG834
READ704	CONTIG632
READ668	CONTIG7
READ72	CONTIG24
READ203	CONTIG641
READ620	CONTIG635
READ87	CONTIG864
READ41	CONTIG859
READ385	CONTIG352
READ169	CONTIG179
READ136	CONTIG22
READ465	CONTIG559
READ381	CONTIG131
READ808	CONTIG777
READ427	CONTIG348
READ479	CONTIG688
READ12	CONTIG155
READ984	CONTIG820
READ622	CONTIG863
READ228	CONTIG217
READ856	CONTIG19
READ480	CONTIG29
READ337	CONTIG966
READ113	CONTIG320
READ917	CONTIG691
READ556	CONTIG420
READ813	CONTIG394
READ492	CONTIG439
READ52	CONTIG717
READ998	CONTIG722
READ119	CONTIG346
READ982	CONTIG684
READ880	CONTIG180
READ62	CONTIG79
READ165	CONTIG737
READ796	CONTIG9
READ469	CONTIG57
READ889	CONTIG232
READ537	CONTIG775
READ172	CONTIG468
READ546	CONTIG488
READ770	CONTIG898
READ378	CONTIG886
READ582	CONTIG865
READ733	CONTIG465
READ717	CONTIG169
READ177	CONTIG899
READ708	CONTIG435
READ971	CONTIG35
READ395	CONTIG100
READ69	CONTIG574
READ549	CONTIG546
READ305	CONTIG925
READ960	CONTIG793
READ980	CONTIG562
READ514	CONTIG357
READ865	CONTIG476
READ39	CONTIG713
READ421	CONTIG921
READ188	CONTIG92
READ46	CONTIG282
READ88	CONTIG471
READ58	CONTIG307
READ131	CONTIG582
READ125	CONTIG620
READ687	CONTIG685
READ271	CONTIG589
READ355	CONTIG77
READ411	CONTIG565
READ684	CONTIG146
READ217	CONTIG317
READ930	CONTIG346
READ548	CONTIG274
READ553	CONTIG769
READ511	CONTIG302
READ647	CONTIG777
READ895	CONTIG408
READ937	CONTIG51
READ897	CONTIG640
READ99	CONTIG147
READ215	CONTIG502
READ942	CONTIG894
READ715	CONTIG149
READ246	CONTIG262
READ563	CONTIG428
READ184	CONTIG862
READ5	CONTIG187
READ554	CONTIG758
READ665	CONTIG939
READ290	CONTIG369
READ423	CONTIG750
READ413	CONTIG32
READ289	CONTIG69
READ558	CONTIG769
READ446	CONTIG727
READ422	CONTIG127
READ707	CONTIG366
READ569	CONTIG874
READ662	CONTIG983
READ848	CONTIG598
READ55	CONTIG554
READ400	CONTIG185
READ916	CONTIG5
READ200	CONTIG642
READ372	CONTIG85
READ242	CONTIG642
READ786	CONTIG371
READ307	CONTIG602
READ521	CONTIG435
READ728	CONTIG510
READ151	CONTIG156
READ729	CONTIG316
READ384	CONTIG531
READ173	CONTIG891
READ852	CONTIG869
READ602	CONTIG440
READ833	CONTIG971
READ401	CONTIG267
READ539	CONTIG808
READ390	CONTIG289
READ993	CONTIG796
READ454	CONTIG52
READ952	CONTIG667
READ330	CONTIG256
READ777	CONTIG54
READ686	CONTIG138
READ65	CONTIG327
READ589	CONTIG233
READ911	CONTIG210
READ674	CONTIG719
READ257	CONTIG869
READ135	CONTIG914
READ630	CONTIG753
READ482	CONTIG383
READ64	CONTIG795
READ157	CONTIG326
READ36	CONTIG695
READ690	CONTIG120
READ375	CONTIG362
READ529	CONTIG119
READ256	CONTIG543
READ812	CONTIG472
READ645	CONTIG344
READ996	CONTIG528
READ186	CONTIG784
READ47	CONTIG308
READ577	CONTIG389
READ339	CONTIG537
READ332	CONTIG695
READ386	CONTIG141
READ855	CONTIG720
READ722	CONTIG945
READ182	CONTIG757
READ862	CONTIG763
READ500	CONTIG728
READ793	CONTIG162
READ493	CONTIG699
READ719	CONTIG254
READ590	CONTIG873
READ658	CONTIG602
READ89	CONTIG473
READ760	CONTIG1000
READ878	CONTIG927
READ441	CONTIG340
READ437	CONTIG362
READ63	CONTIG991
READ649	CONTIG269
READ801	CONTIG501
READ1	CONTIG834
READ477	CONTIG817
READ35	CONTIG546
READ387	CONTIG162
READ870	CONTIG408
READ624	CONTIG228
READ778	CONTIG254
READ655	CONTIG236
READ871	CONTIG869
READ420	CONTIG331
READ873	CONTIG405
READ376	CONTIG964
READ505	CONTIG971
READ504	CONTIG958
READ990	CONTIG523
READ730	CONTIG334
READ520	CONTIG95
READ962	CONTIG917
READ108	CONTIG130
READ460	CONTIG60
READ802	CONTIG323
READ268	CONTIG667
READ349	CONTIG149
READ43	CONTIG185
READ518	CONTIG292
READ575	CONTIG432
READ933	CONTIG610
READ947	CONTIG85
READ315	CONTIG334
READ326	CONTIG545
READ584	CONTIG969
READ54	CONTIG47
READ498	CONTIG548
READ528	CONTIG36
READ845	CONTIG156
READ915	CONTIG52
READ94	CONTIG836
READ594	CONTIG680
READ752	CONTIG711
READ161	CONTIG87
READ969	CONTIG359
READ774	CONTIG697
READ626	CONTIG669
READ335	CONTIG32
READ299	CONTIG735
READ234	CONTIG717
READ407	CONTIG877
READ214	CONTIG482
READ757	CONTIG359
READ789	CONTIG13
READ229	CONTIG534
READ191	CONTIG226
READ876	CONTIG164
READ922	CONTIG186
READ187	CONTIG517
READ607	CONTIG712
READ31	CONTIG166
READ836	CONTIG282
READ766	CONTIG447
READ753	CONTIG455
READ890	CONTIG52
READ110	CONTIG624
READ628	CONTIG979
READ455	CONTIG294
READ415	CONTIG940
READ474	CONTIG17
READ868	CONTIG610
READ323	CONTIG580
READ166	CONTIG808
READ557	CONTIG129
READ600	CONTIG885
READ906	CONTIG846
READ240	CONTIG704
READ738	CONTIG326
READ206	CONTIG903
READ353	CONTIG361
READ174	CONTIG982
READ988	CONTIG959
READ610	CONTIG873
READ300	CONTIG542
READ978	CONTIG893
READ3	CONTIG957
READ666	CONTIG799
READ485	CONTIG386
READ77	CONTIG986
READ156	CONTIG753
READ363	CONTIG652
READ748	CONTIG611
READ503	CONTIG486
READ596	CONTIG685
READ476	CONTIG811
READ974	CONTIG466
READ580	CONTIG559
READ718	CONTIG137
READ179	CONTIG733
READ359	CONTIG409
READ894	CONTIG109
READ109	CONTIG669
READ250	CONTIG341
READ931	CONTIG499
READ841	CONTIG842
READ193	CONTIG614
READ648	CONTIG497
READ510	CONTIG688
READ693	CONTIG505
READ237	CONTIG913
READ576	CONTIG91
READ780	CONTIG263
READ134	CONTIG244
READ823	CONTIG672
READ467	CONTIG753
READ703	CONTIG397
READ552	CONTIG177
READ155	CONTIG387
READ834	CONTIG447
READ101	CONTIG102
READ374	CONTIG367
READ321	CONTIG704
READ798	CONTIG446
