READ865	CONTIG2
READ158	CONTIG806
READ575	CONTIG439
READ708	CONTIG697
READ13	CONTIG228
READ469	CONTIG994
READ81	CONTIG624
READ826	CONTIG407
READ806	CONTIG572
READ775	CONTIG944
READ288	CONTIG227
READ139	CONTIG465
READ246	CONTIG198
READ494	CONTIG348
READ361	CONTIG623
READ625	CONTIG105
READ884	CONTIG621
READ690	CONTIG905
READ752	CONTIG88
READ605	CONTIG814
READ649	CONTIG327
READ773	CONTIG331
READ136	CONTIG549
READ963	CONTIG467
READ888	CONTIG915
READ425	CONTIG333
READ667	CONTIG262
READ858	CONTIG30
READ926	CONTIG535
READ609	CONTIG46
READ197	CONTIG195
READ343	CONTIG378
READ164	CONTIG83
READ709	CONTIG215
READ229	CONTIG891
READ653	CONTIG538
READ906	CONTIG355
READ388	CONTIG193
READ913	CONTIG858
READ998	CONTIG207
READ33	CONTIG258
READ412	CONTIG689
READ683	CONTIG747
READ429	CONTIG754
READ48	CONTIG309
READ170	CONTIG320
READ457	CONTIG530
READ66	CONTIG881
READ994	CONTIG394
READ162	CONTIG261
READ458	CONTIG494
READ541	CONTIG353
READ829	CONTIG893
READ719	CONTIG730
READ619	CONTIG246
READ1	CONTIG46
READ859	CONTIG314
READ507	CONTIG957
READ918	CONTIG566
READ320	CONTIG75
READ760	CONTIG10
READ52	CONTIG472
READ426	CONTIG508
READ193	CONTIG742
READ937	CONTIG449
READ957	CONTIG49
READ86	CONTIG940
READ933	CONTIG829
READ16	CONTIG423
READ680	CONTIG506
READ428	CONTIG472
READ950	CONTIG451
READ4	CONTIG121
READ219	CONTIG88
READ936	CONTIG84
READ3	CONTIG247
READ542	CONTIG102
READ925	CONTIG847
READ101	CONTIG784
READ982	CONTIG158
READ122	CONTIG424
READ623	CONTIG906
READ204	CONTIG942
READ310	CONTIG219
READ287	CONTIG452
READ187	CONTIG628
READ103	CONTIG79
READ866	CONTIG838
READ407	CONTIG438
READ84	CONTIG573
READ786	CONTIG773
READ841	CONTIG908
READ464	CONTIG850
READ789	CONTIG404
READ263	CONTIG41
READ137	CONTIG982
READ993	CONTIG185
READ356	CONTIG256
READ118	CONTIG502
READ159	CONTIG226
READ286	CONTIG132
READ20	CONTIG861
READ44	CONTIG892
READ995	CONTIG286
READ211	CONTIG957
READ868	CONTIG361
READ572	CONTIG328
READ323	CONTIG446
READ376	CONTIG110
READ679	CONTIG571
READ695	CONTIG922
READ664	CONTIG293
READ470	CONTIG625
READ446	CONTIG555
READ382	CONTIG808
READ551	CONTIG207
READ183	CONTIG729
READ213	CONTIG304
READ385	CONTIG797
READ828	CONTIG453
READ896	CONTIG527
READ10	CONTIG620
READ142	CONTIG474
READ155	CONTIG550
READ821	CONTIG650
READ959	CONTIG268
READ346	CONTIG280
READ377	CONTIG238
READ947	CONTIG17
READ347	CONTIG122
READ37	CONTIG630
READ43	CONTIG803
READ277	CONTIG729
READ168	CONTIG102
READ860	CONTIG177
READ297	CONTIG751
READ370	CONTIG425
READ405	CONTIG255
READ837	CONTIG224
READ133	CONTIG292
READ301	CONTIG901
READ640	CONTIG754
READ490	CONTIG676
READ688	CONTIG7
READ50	CONTIG760
READ316	CONTIG549
READ184	CONTIG528
READ536	CONTIG439
READ73	CONTIG880
READ638	CONTIG51
READ413	CONTIG125
READ337	CONTIG394
READ307	CONTIG661
READ734	CONTIG280
READ899	CONTIG122
READ962	CONTIG995
READ493	CONTIG755
READ486	CONTIG579
READ595	CONTIG368
READ352	CONTIG236
READ798	CONTIG692
READ781	CONTIG734
READ831	CONTIG721
READ510	CONTIG560
READ891	CONTIG677
READ39	CONTIG289
READ615	CONTIG227
READ714	CONTIG758
READ160	CONTIG852
READ171	CONTIG924
READ603	CONTIG246
READ90	CONTIG67
READ68	CONTIG531
READ87	CONTIG315
READ203	CONTIG691
READ769	CONTIG336
READ762	CONTIG240
READ879	CONTIG383
READ9	CONTIG644
READ643	CONTIG492
READ404	CONTIG294
READ532	CONTIG597
READ586	CONTIG176
READ460	CONTIG141
READ501	CONTIG830
READ223	CONTIG16
READ434	CONTIG567
READ655	CONTIG517
READ378	CONTIG336
READ880	CONTIG376
READ268	CONTIG600
READ552	CONTIG651
READ442	CONTIG26
READ691	CONTIG832
READ703	CONTIG133
READ580	CONTIG898
READ722	CONTIG406
READ29	CONTIG159
READ463	CONTIG1000
READ207	CONTIG182
READ927	CONTIG523
READ712	CONTIG79
READ408	CONTIG139
READ644	CONTIG784
READ844	CONTIG212
READ758	CONTIG801
READ222	CONTIG938
READ809	CONTIG794
READ108	CONTIG509
READ547	CONTIG584
READ235	CONTIG786
READ796	CONTIG713
READ186	CONTIG993
READ280	CONTIG219
READ424	CONTIG241
READ78	CONTIG751
READ54	CONTIG136
READ306	CONTIG836
READ920	CONTIG240
READ800	CONTIG779
READ977	CONTIG394
READ208	CONTIG362
READ327	CONTIG624
READ349	CONTIG606
READ217	CONTIG136
READ450	CONTIG645
READ753	CONTIG511
READ254	CONTIG923
READ348	CONTIG940
READ692	CONTIG111
READ455	CONTIG631
READ741	CONTIG854
READ427	CONTIG27
READ256	CONTIG540
READ973	CONTIG611
READ326	CONTIG368
READ855	CONTIG501
READ448	CONTIG467
READ757	CONTIG317
READ597	CONTIG13
READ313	CONTIG982
READ477	CONTIG226
READ113	CONTIG569
READ5	CONTIG669
READ815	CONTIG167
READ362	CONTIG677
READ383	CONTIG901
READ461	CONTIG507
READ742	CONTIG829
READ419	CONTIG977
READ165	CONTIG756
READ19	CONTIG493
READ269	CONTIG560
READ900	CONTIG322
READ955	CONTIG722
READ132	CONTIG869
READ766	CONTIG81
READ402	CONTIG266
READ80	CONTIG141
READ432	CONTIG619
READ938	CONTIG412
READ601	CONTIG721
READ964	CONTIG196
READ527	CONTIG842
READ476	CONTIG325
READ414	CONTIG805
READ241	CONTIG299
READ870	CONTIG394
READ410	CONTIG967
READ761	CONTIG61
READ265	CONTIG214
READ951	CONTIG40
READ21	CONTIG323
READ943	CONTIG744
READ116	CONTIG766
READ67	CONTIG985
READ449	CONTIG256
READ587	CONTIG352
READ8	CONTIG884
READ389	CONTIG452
READ433	CONTIG685
READ230	CONTIG744
READ676	CONTIG676
READ694	CONTIG674
READ735	CONTIG232
READ77	CONTIG267
READ336	CONTIG353
READ236	CONTIG688
READ191	CONTIG167
READ259	CONTIG313
READ642	CONTIG18
READ272	CONTIG365
READ258	CONTIG588
READ18	CONTIG553
READ294	CONTIG60
READ713	CONTIG750
READ902	CONTIG646
READ633	CONTIG155
READ571	CONTIG362
READ616	CONTIG23
READ529	CONTIG503
READ308	CONTIG643
READ725	CONTIG63
READ475	CONTIG26
READ648	CONTIG248
READ387	CONTIG47
READ106	CONTIG13
READ149	CONTIG232
READ275	CONTIG969
READ569	CONTIG670
READ214	CONTIG335
READ247	CONTIG69
READ406	CONTIG841
READ199	CONTIG64
READ312	CONTIG354
READ581	CONTIG996
READ820	CONTIG680
READ11	CONTIG433
READ570	CONTIG140
READ666	CONTIG914
READ790	CONTIG945
READ791	CONTIG222
READ983	CONTIG460
READ260	CONTIG446
READ292	CONTIG146
READ131	CONTIG367
READ530	CONTIG320
READ467	CONTIG182
READ253	CONTIG665
READ135	CONTIG337
READ156	CONTIG746
READ779	CONTIG805
READ528	CONTIG766
READ421	CONTIG419
READ32	CONTIG392
READ632	CONTIG10
READ329	CONTIG420
READ525	CONTIG913
READ793	CONTIG271
READ147	CONTIG547
READ374	CONTIG545
READ172	CONTIG824
READ992	CONTIG754
READ492	CONTIG704
READ907	CONTIG722
READ411	CONTIG474
READ573	CONTIG778
READ252	CONTIG43
READ465	CONTIG579
READ671	CONTIG944
READ942	CONTIG126
READ345	CONTIG419
READ358	CONTIG977
READ965	CONTIG400
READ181	CONTIG176
READ810	CONTIG4
READ533	CONTIG513
READ314	CONTIG142
READ239	CONTIG637
READ198	CONTIG890
READ511	CONTIG678
READ25	CONTIG527
READ660	CONTIG861
READ847	CONTIG751
READ372	CONTIG717
READ670	CONTIG152
READ908	CONTIG82
READ652	CONTIG338
READ317	CONTIG244
READ549	CONTIG861
READ614	CONTIG849
READ579	CONTIG841
READ839	CONTIG181
READ630	CONTIG253
READ923	CONTIG969
READ178	CONTIG23
READ100	CONTIG980
READ684	CONTIG826
READ817	CONTIG918
READ57	CONTIG173
READ31	CONTIG761
READ481	CONTIG807
READ240	CONTIG859
READ315	CONTIG701
READ929	CONTIG575
READ173	CONTIG173
READ767	CONTIG736
READ812	CONTIG81
READ726	CONTIG438
READ152	CONTIG950
READ384	CONTIG886
READ519	CONTIG613
READ928	CONTIG107
READ545	CONTIG636
READ422	CONTIG644
READ97	CONTIG469
READ620	CONTIG728
READ201	CONTIG154
READ997	CONTIG630
READ441	CONTIG617
READ974	CONTIG42
READ234	CONTIG259
READ702	CONTIG349
READ556	CONTIG826
READ631	CONTIG756
READ496	CONTIG751
READ824	CONTIG386
READ396	CONTIG28
READ732	CONTIG641
READ495	CONTIG955
READ397	CONTIG911
READ293	CONTIG38
READ111	CONTIG509
READ526	CONTIG92
READ838	CONTIG367
READ678	CONTIG300
READ716	CONTIG688
READ780	CONTIG155
READ801	CONTIG470
READ157	CONTIG242
READ59	CONTIG520
READ75	CONTIG365
READ417	CONTIG167
READ290	CONTIG754
READ497	CONTIG772
READ452	CONTIG415
READ991	CONTIG346
READ979	CONTIG277
READ681	CONTIG823
READ51	CONTIG505
READ944	CONTIG968
READ523	CONTIG403
READ686	CONTIG16
READ687	CONTIG319
READ846	CONTIG544
READ613	CONTIG923
READ537	CONTIG296
READ255	CONTIG564
READ167	CONTIG481
READ130	CONTIG36
READ759	CONTIG792
READ984	CONTIG545
READ591	CONTIG585
READ903	CONTIG566
READ668	CONTIG269
READ285	CONTIG957
READ177	CONTIG704
READ179	CONTIG40
READ864	CONTIG467
READ6	CONTIG405
READ559	CONTIG739
READ188	CONTIG123
READ279	CONTIG414
READ768	CONTIG355
READ107	CONTIG508
READ743	CONTIG53
READ105	CONTIG22
READ335	CONTIG280
READ948	CONTIG758
READ606	CONTIG36
READ874	CONTIG261
READ756	CONTIG698
READ749	CONTIG697
READ375	CONTIG596
READ593	CONTIG720
READ233	CONTIG795
READ379	CONTIG952
READ418	CONTIG297
READ89	CONTIG703
READ182	CONTIG781
READ578	CONTIG213
READ608	CONTIG781
READ394	CONTIG542
READ443	CONTIG529
READ705	CONTIG349
READ93	CONTIG396
READ706	CONTIG855
READ727	CONTIG996
READ300	CONTIG257
READ468	CONTIG214
READ956	CONTIG119
READ807	CONTIG580
READ599	CONTIG338
READ473	CONTIG825
READ386	CONTIG992
READ354	CONTIG966
READ332	CONTIG947
READ576	CONTIG249
READ27	CONTIG601
READ949	CONTIG691
READ883	CONTIG738
READ79	CONTIG546
READ281	CONTIG698
READ564	CONTIG897
READ788	CONTIG362
READ555	CONTIG167
READ206	CONTIG939
READ58	CONTIG889
READ747	CONTIG922
READ364	CONTIG157
READ751	CONTIG339
READ61	CONTIG867
READ520	CONTIG766
READ849	CONTIG840
READ243	CONTIG10
READ917	CONTIG599
READ513	CONTIG836
READ439	CONTIG53
READ12	CONTIG579
READ338	CONTIG160
READ444	CONTIG976
READ843	CONTIG353
READ645	CONTIG372
READ878	CONTIG299
READ733	CONTIG641
READ365	CONTIG301
READ212	CONTIG331
READ215	CONTIG507
READ975	CONTIG802
READ141	CONTIG414
READ610	CONTIG616
READ784	CONTIG442
READ305	CONTIG175
READ707	CONTIG2
READ109	CONTIG808
READ512	CONTIG145
READ746	CONTIG583
READ91	CONTIG45
READ22	CONTIG453
READ264	CONTIG129
READ114	CONTIG350
READ672	CONTIG952
READ95	CONTIG10
READ474	CONTIG972
READ699	CONTIG739
READ647	CONTIG492
READ740	CONTIG932
READ451	CONTIG970
READ827	CONTIG681
READ403	CONTIG839
READ438	CONTIG679
READ661	CONTIG798
READ53	CONTIG264
READ304	CONTIG766
READ369	CONTIG627
READ934	CONTIG193
READ862	CONTIG72
READ218	CONTIG563
READ799	CONTIG959
READ1000	CONTIG435
READ284	CONTIG286
READ978	CONTIG973
READ391	CONTIG851
READ472	CONTIG179
READ115	CONTIG543
READ635	CONTIG174
READ919	CONTIG65
READ639	CONTIG675
READ373	CONTIG655
READ45	CONTIG162
READ958	CONTIG594
READ117	CONTIG113
READ88	CONTIG965
READ654	CONTIG517
READ330	CONTIG648
READ851	CONTIG816
READ271	CONTIG557
READ353	CONTIG620
READ124	CONTIG394
READ274	CONTIG773
READ423	CONTIG446
